,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Республика Казахстан,1029,1042,1063,1086,1055,1041,1020,998,1009,990,995,911,901,877,853,788,749,773,773,818
Абай,,,,,,,,,,,,,,,,,,,,30
Акмолинская,52,53,54,62,59,48,51,50,44,41,40,40,38,37,37,30,27,29,29,32
Актюбинская,52,54,56,59,58,60,57,54,52,52,51,48,47,47,45,46,44,44,44,42
Алматинская,83,82,87,82,85,89,88,90,88,93,77,90,86,87,85,83,79,82,82,44
Атырауская,39,39,41,43,40,40,40,40,41,41,40,37,36,35,29,28,28,29,29,32
Западно-Казахстанская,56,54,54,53,51,50,45,44,42,40,41,38,37,32,31,29,29,29,29,30
Жамбылская,58,58,58,61,61,59,62,60,58,57,62,56,57,52,51,48,47,47,47,52
Жетысу,,,,,,,,,,,,,,,,,,,,36
Карагандинская,91,100,103,106,104,105,100,102,97,100,93,88,83,78,81,76,72,75,75,61
Костанайская,51,52,56,64,64,57,57,57,59,56,57,53,51,49,47,46,39,42,42,43
Кызылординская,64,66,67,70,70,69,68,61,53,46,56,51,50,48,47,47,36,33,33,33
Мангистауская,35,36,33,33,30,30,30,27,33,31,37,29,29,28,29,28,26,31,31,35
Павлодарская,69,69,70,64,61,63,60,60,60,59,51,43,42,42,38,36,35,36,36,38
Северо-Казахстанская,49,49,49,49,49,36,36,29,32,31,35,29,28,26,25,24,22,24,24,24
Туркестанская**,154,154,155,153,133,130,135,133,153,138,139,118,122,124,117,40,39,43,43,47
Улытау,,,,,,,,,,,,,,,,,,,,11
Восточно-Казахстанская,104,105,106,114,116,117,102,103,97,101,99,92,88,81,80,80,62,61,61,31
город Астана,19,19,21,22,23,24,26,26,31,31,23,27,31,32,32,34,36,37,37,32
город Алматы,53,52,53,51,51,64,63,62,69,73,94,72,76,79,79,87,92,91,91,77
город Шымкент,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,36,40,40,88
