,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Республика Казахстан ,65.63,65.5,65.8,66,65.83,66.18,65.91,66.15,66.34,67.11,68.39,68.45,68.69,69.52,70.62,71.44,71.97,72.41,72.95,73.15,73.18,71.37,70.23,74.44
Абай,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73.8
Акмолинская,64.38,64.33,63.31,64.6,63.71,63.94,63.49,63.58,63.77,64.96,66.12,66.43,66.62,67.27,68.54,69.68,70.38,70.91,70.8,71.6,71.43,70.09,68.86,73.48
Актюбинская,65.25,63.89,63.88,63.92,64.34,65.41,65.71,65.69,66.17,67.61,68.63,69.26,70.23,70.06,71.38,71.94,72.33,72.82,73.47,73.45,73.58,71.69,70.83,74.85
Алматинская,66.74,66.8,67.42,67.44,66.89,67.02,66.41,66.46,66.37,67.52,69.17,69.11,69.76,69.84,70.99,71.82,71.87,72.46,72.7,73.44,73.41,71.73,70.53,73.87
Атырауская,63.86,64.36,64.93,64.4,65.32,65.94,66.65,66.17,66.56,67.42,68.2,68.33,69.2,69.34,70.98,71.66,72.26,71.68,73.22,73.13,73.27,70.52,70.01,74.66
Западно-Казахстанская,65.23,65.28,65.05,64.85,64.97,66.54,66.46,66.59,66.24,67.3,68.18,68.54,68.95,69.58,70.39,71.11,71.56,71.66,72.38,72.43,72.81,70.87,69.69,73.76
Жамбылская,66.52,65.48,66.43,66.67,66.23,67.01,66.98,66.89,67.28,67.39,68.01,68.13,69,69.32,69.9,70.96,71.64,71.93,72.43,72.79,72.63,70.63,69.15,74.87
Жетісу,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74.38
Карагандинская,63.9,64.05,64.16,64.3,63.82,63.79,63.95,63.92,63.7,64.64,66.64,66.53,67.27,67.4,69.03,70.12,70.55,70.89,71.57,71.7,71.69,70.38,69.14,72.3
Костанайская,64.99,64.85,65.71,65.96,65.17,65.41,65.28,65.19,64.93,65.59,67.49,67.62,67.52,68.28,69.69,70.3,70.73,71.36,72.2,72.36,72.42,70.72,69.29,72.68
Кызылординская,65.43,65.57,65.78,65.61,66.25,67.01,66.03,66.04,66.86,67.48,67.56,68.32,68.97,69.29,70.47,70.78,71.8,71.91,72.6,72.98,72.79,70.15,70.83,74.21
Мангистауская,64.35,64.19,63.34,63.92,65.01,65.33,64.98,65.62,66.57,66.78,69.59,69.63,70.46,71.19,71.73,72.43,72.83,73.58,74.34,73.73,74.14,71.1,70.57,75.83
Павлодарская,65.14,64.75,64.95,65.71,65.68,65.82,65.6,65.07,65.67,66.48,68.03,67.88,68.29,68.73,70.16,70.59,71.4,71.72,72.1,72.31,72.33,70.75,68.93,72.9
Северо-Казахстанская,65.14,65,65.14,64.84,64.76,65.03,64.92,64.81,64.73,65.41,66.73,66.54,66.76,67.37,68.07,69.62,70.39,71.01,70.86,71.14,70.7,69.9,68.57,72.27
Туркестанская*,67.13,67.32,67.39,67.17,67.07,67.85,67.36,67.61,67.65,67.9,69.44,69.6,69.87,70.55,71.11,71.61,72.14,72.58,72.45,72.95,72.73,70.67,70.18,75.04
Ұлытау,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71.44
Восточно-Казахстанская,64.93,64.51,65.21,65.37,65.29,65.37,64.78,64.8,65.02,65.81,66.9,66.9,67.66,68.41,69.61,70.61,70.83,71.45,71.97,71.97,72.07,70.85,69.33,72.37
г. Астана,67.6,69.16,69.05,69.43,70.45,70.84,70.7,71.39,72.63,73.75,72.39,73.19,73.61,73.64,74.45,74.88,74.67,74.85,76.21,76.21,76.75,73.49,72.87,77.3
г. Алматы,67.98,67.75,68.41,68.73,68.17,67.75,67.4,69.66,70.45,70.35,71.39,70.92,71.74,72.52,73.55,74.07,75.39,75.78,76.01,75.54,75.45,74.02,71.97,77.32
г. Шымкент,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74.34,74.65,74.41,71,70.49,75.61
